Timp,Nivel de oxigen,Puls cardiac,Mişcare
20:35:10 15/10/2025,92,78,0
20:35:14 15/10/2025,92,78,0
20:35:18 15/10/2025,93,78,0
20:35:22 15/10/2025,94,77,0
20:35:26 15/10/2025,92,76,1
20:35:30 15/10/2025,91,78,2
20:35:34 15/10/2025,91,78,3
20:35:38 15/10/2025,91,78,0
20:35:42 15/10/2025,90,79,0
20:35:46 15/10/2025,89,78,0
20:35:50 15/10/2025,90,75,0
20:35:54 15/10/2025,91,74,0
20:35:58 15/10/2025,91,73,1
20:36:02 15/10/2025,91,73,3
20:36:06 15/10/2025,91,75,0
20:36:10 15/10/2025,90,76,0
20:36:14 15/10/2025,89,75,0
20:36:18 15/10/2025,91,74,0
20:36:22 15/10/2025,94,65,0
20:36:26 15/10/2025,94,65,0
20:36:30 15/10/2025,92,70,0
20:36:34 15/10/2025,91,76,1
20:36:38 15/10/2025,90,77,0
20:36:42 15/10/2025,90,77,0
20:36:46 15/10/2025,90,77,1
20:36:50 15/10/2025,89,76,0
20:36:54 15/10/2025,89,76,0
20:36:58 15/10/2025,89,76,0
20:37:02 15/10/2025,88,76,0
20:37:06 15/10/2025,88,76,0
20:37:10 15/10/2025,88,76,0
20:37:14 15/10/2025,87,77,0
20:37:18 15/10/2025,87,78,0
20:37:22 15/10/2025,88,78,1
20:37:26 15/10/2025,88,77,0
20:37:30 15/10/2025,88,77,0
20:37:34 15/10/2025,88,77,0
20:37:38 15/10/2025,88,78,0
20:37:42 15/10/2025,88,78,0
20:37:46 15/10/2025,88,78,11
20:37:50 15/10/2025,89,79,0
20:37:54 15/10/2025,90,79,0
20:37:58 15/10/2025,91,76,0
20:38:02 15/10/2025,91,72,0
20:38:06 15/10/2025,92,72,0
20:38:10 15/10/2025,92,72,0
20:38:14 15/10/2025,91,66,0
20:38:18 15/10/2025,90,66,0
20:38:22 15/10/2025,89,73,0
20:38:26 15/10/2025,89,73,2
20:38:30 15/10/2025,88,73,0
20:38:34 15/10/2025,88,74,0
20:38:38 15/10/2025,87,74,0
20:38:42 15/10/2025,88,71,0
20:38:46 15/10/2025,89,71,0
20:38:50 15/10/2025,89,72,0
20:38:54 15/10/2025,89,73,0
20:38:58 15/10/2025,89,74,0
