Timp,Nivel de oxigen,Puls cardiac,Mişcare
21:51:45 21/08/2025,96,57,0
21:51:49 21/08/2025,96,57,0
21:51:53 21/08/2025,96,57,1
21:51:57 21/08/2025,95,57,0
21:52:01 21/08/2025,95,57,0
21:52:05 21/08/2025,94,55,1
21:52:09 21/08/2025,93,57,0
21:52:13 21/08/2025,92,63,1
21:52:17 21/08/2025,92,63,1
21:52:21 21/08/2025,93,64,1
21:52:25 21/08/2025,93,64,1
21:52:29 21/08/2025,93,64,1
21:52:33 21/08/2025,93,64,1
21:52:37 21/08/2025,94,61,1
21:52:41 21/08/2025,95,59,1
21:52:45 21/08/2025,94,52,1
21:52:49 21/08/2025,94,52,1
21:52:53 21/08/2025,93,52,1
21:52:57 21/08/2025,93,52,1
21:53:01 21/08/2025,93,52,0
21:53:05 21/08/2025,94,54,1
21:53:09 21/08/2025,93,54,1
21:53:13 21/08/2025,93,54,1
21:53:17 21/08/2025,93,54,1
21:53:21 21/08/2025,93,55,0
21:53:25 21/08/2025,93,56,1
21:53:29 21/08/2025,93,56,13
21:53:33 21/08/2025,93,56,12
21:53:37 21/08/2025,93,56,3
21:53:41 21/08/2025,93,56,3
21:53:45 21/08/2025,93,56,0
21:53:49 21/08/2025,93,57,0
21:53:53 21/08/2025,94,55,0
21:53:57 21/08/2025,94,55,0
21:54:01 21/08/2025,95,55,0
21:54:05 21/08/2025,96,56,0
21:54:09 21/08/2025,97,57,0
21:54:13 21/08/2025,97,55,0
21:54:17 21/08/2025,97,54,0
21:54:21 21/08/2025,97,54,4
21:54:25 21/08/2025,97,54,3
21:54:29 21/08/2025,97,54,1
21:54:33 21/08/2025,97,50,3
21:54:37 21/08/2025,97,50,2
21:54:41 21/08/2025,97,50,4
21:54:45 21/08/2025,97,47,1
21:54:49 21/08/2025,97,47,0
21:54:53 21/08/2025,96,48,2
21:54:57 21/08/2025,96,48,3
21:55:01 21/08/2025,97,48,6
21:55:05 21/08/2025,97,52,1
21:55:09 21/08/2025,98,55,1
21:55:13 21/08/2025,97,55,1
21:55:17 21/08/2025,96,55,1
21:55:21 21/08/2025,96,55,0
21:55:25 21/08/2025,96,54,1
21:55:29 21/08/2025,96,54,0
21:55:33 21/08/2025,97,53,0
21:55:37 21/08/2025,97,54,0
21:55:41 21/08/2025,97,54,1
21:55:45 21/08/2025,97,54,1
21:55:49 21/08/2025,97,53,1
21:55:53 21/08/2025,96,53,1
21:55:57 21/08/2025,96,52,0
21:56:01 21/08/2025,96,52,1
21:56:05 21/08/2025,96,54,0
21:56:09 21/08/2025,97,54,1
21:56:13 21/08/2025,97,55,1
21:56:17 21/08/2025,97,53,3
21:56:21 21/08/2025,97,53,6
21:56:25 21/08/2025,97,53,5
21:56:29 21/08/2025,97,53,3
21:56:33 21/08/2025,97,53,7
21:56:37 21/08/2025,97,53,1
21:56:41 21/08/2025,96,55,0
21:56:45 21/08/2025,97,55,0
21:56:49 21/08/2025,96,52,0
21:56:53 21/08/2025,96,53,0
21:56:57 21/08/2025,96,53,1
21:57:01 21/08/2025,96,53,0
21:57:05 21/08/2025,96,52,0
21:57:09 21/08/2025,96,52,0
21:57:13 21/08/2025,96,51,0
21:57:17 21/08/2025,96,52,0
21:57:21 21/08/2025,95,53,0
21:57:25 21/08/2025,95,54,1
21:57:29 21/08/2025,95,54,0
21:57:33 21/08/2025,95,53,0
21:57:37 21/08/2025,95,50,1
21:57:41 21/08/2025,96,51,0
21:57:45 21/08/2025,96,51,0
21:57:49 21/08/2025,96,51,0
21:57:53 21/08/2025,96,52,1
21:57:57 21/08/2025,96,53,0
21:58:01 21/08/2025,96,51,0
21:58:05 21/08/2025,97,51,0
21:58:09 21/08/2025,97,50,0
21:58:13 21/08/2025,98,50,0
21:58:17 21/08/2025,98,50,0
21:58:21 21/08/2025,97,50,0
21:58:25 21/08/2025,96,51,0
21:58:29 21/08/2025,96,52,0
21:58:33 21/08/2025,95,51,0
21:58:37 21/08/2025,96,52,0
21:58:41 21/08/2025,96,51,0
21:58:45 21/08/2025,97,51,1
21:58:49 21/08/2025,97,51,1
21:58:53 21/08/2025,97,52,0
21:58:57 21/08/2025,97,52,0
21:59:01 21/08/2025,96,53,0
21:59:05 21/08/2025,95,54,1
21:59:09 21/08/2025,95,53,0
21:59:13 21/08/2025,96,52,0
21:59:17 21/08/2025,96,52,0
21:59:21 21/08/2025,97,52,0
21:59:25 21/08/2025,97,52,0
21:59:29 21/08/2025,97,52,0
21:59:33 21/08/2025,96,52,0
21:59:37 21/08/2025,96,52,1
21:59:41 21/08/2025,96,52,0
21:59:45 21/08/2025,97,51,0
21:59:49 21/08/2025,98,51,0
21:59:53 21/08/2025,98,51,0
21:59:57 21/08/2025,98,53,1
22:00:01 21/08/2025,98,53,0
22:00:05 21/08/2025,96,55,0
22:00:09 21/08/2025,95,55,0
22:00:13 21/08/2025,96,52,0
22:00:17 21/08/2025,97,51,0
22:00:21 21/08/2025,97,51,1
22:00:25 21/08/2025,97,51,1
22:00:29 21/08/2025,97,52,1
22:00:33 21/08/2025,97,53,0
22:00:37 21/08/2025,96,54,0
22:00:41 21/08/2025,95,56,1
22:00:45 21/08/2025,95,56,2
22:00:49 21/08/2025,95,56,1
22:00:53 21/08/2025,96,58,0
22:00:57 21/08/2025,96,58,2
22:01:01 21/08/2025,96,58,1
22:01:05 21/08/2025,96,57,3
22:01:09 21/08/2025,96,57,0
22:01:13 21/08/2025,96,56,0
22:01:17 21/08/2025,96,51,0
22:01:21 21/08/2025,97,51,0
22:01:25 21/08/2025,97,51,0
22:01:29 21/08/2025,97,51,0
22:01:33 21/08/2025,97,53,1
22:01:37 21/08/2025,97,53,1
22:01:41 21/08/2025,97,54,0
22:01:45 21/08/2025,97,54,0
22:01:49 21/08/2025,97,54,1
22:01:53 21/08/2025,97,54,1
22:01:57 21/08/2025,97,54,0
22:02:01 21/08/2025,98,51,0
22:02:05 21/08/2025,98,51,0
22:02:09 21/08/2025,98,51,1
22:02:13 21/08/2025,98,52,0
22:02:17 21/08/2025,98,52,1
22:02:21 21/08/2025,98,55,1
22:02:25 21/08/2025,98,55,0
22:02:29 21/08/2025,98,55,1
22:02:33 21/08/2025,98,62,0
22:02:37 21/08/2025,98,62,1
22:02:41 21/08/2025,97,63,1
22:02:45 21/08/2025,97,63,1
22:02:49 21/08/2025,97,63,1
22:02:53 21/08/2025,97,62,1
22:02:57 21/08/2025,97,62,1
22:03:01 21/08/2025,97,62,1
22:03:05 21/08/2025,97,62,0
22:03:09 21/08/2025,97,62,1
22:03:13 21/08/2025,97,62,0
22:03:17 21/08/2025,97,62,1
22:03:21 21/08/2025,97,51,1
22:03:25 21/08/2025,97,52,1
22:03:29 21/08/2025,97,52,1
22:03:33 21/08/2025,97,52,1
22:03:37 21/08/2025,97,53,1
22:03:41 21/08/2025,97,52,0
22:03:45 21/08/2025,96,53,0
22:03:49 21/08/2025,96,51,1
22:03:53 21/08/2025,97,51,0
22:03:57 21/08/2025,97,51,1
22:04:01 21/08/2025,98,51,1
22:04:05 21/08/2025,98,51,1
22:04:09 21/08/2025,97,51,0
22:04:13 21/08/2025,97,52,1
22:04:17 21/08/2025,96,52,1
22:04:21 21/08/2025,95,53,1
22:04:25 21/08/2025,97,51,1
22:04:29 21/08/2025,98,49,1
22:04:33 21/08/2025,98,50,1
22:04:37 21/08/2025,98,50,1
22:04:41 21/08/2025,97,51,1
22:04:45 21/08/2025,96,52,0
22:04:49 21/08/2025,96,54,0
22:04:53 21/08/2025,95,54,0
22:04:57 21/08/2025,96,53,0
22:05:01 21/08/2025,98,50,1
22:05:05 21/08/2025,98,52,0
22:05:09 21/08/2025,97,52,0
22:05:13 21/08/2025,97,52,0
22:05:17 21/08/2025,97,53,1
22:05:21 21/08/2025,97,53,1
22:05:25 21/08/2025,97,53,1
22:05:29 21/08/2025,97,53,0
22:05:33 21/08/2025,97,51,1
22:05:37 21/08/2025,97,56,1
22:05:41 21/08/2025,97,56,0
22:05:45 21/08/2025,97,56,1
22:05:49 21/08/2025,97,56,1
22:05:53 21/08/2025,97,57,1
22:05:57 21/08/2025,97,57,0
22:06:01 21/08/2025,97,56,1
22:06:05 21/08/2025,97,54,0
22:06:09 21/08/2025,97,54,0
22:06:13 21/08/2025,97,54,1
22:06:17 21/08/2025,97,57,0
22:06:21 21/08/2025,97,57,0
22:06:25 21/08/2025,96,59,0
22:06:29 21/08/2025,96,60,0
22:06:33 21/08/2025,96,58,0
22:06:37 21/08/2025,96,57,0
22:06:41 21/08/2025,96,57,1
22:06:45 21/08/2025,96,57,1
22:06:49 21/08/2025,96,57,1
22:06:53 21/08/2025,96,57,0
22:06:57 21/08/2025,96,57,0
22:07:01 21/08/2025,96,57,0
22:07:05 21/08/2025,96,57,1
22:07:09 21/08/2025,96,57,1
22:07:13 21/08/2025,96,54,1
22:07:17 21/08/2025,97,52,1
22:07:21 21/08/2025,97,52,0
22:07:25 21/08/2025,96,53,1
22:07:29 21/08/2025,96,53,0
22:07:33 21/08/2025,97,53,0
22:07:37 21/08/2025,96,54,1
22:07:41 21/08/2025,96,56,1
22:07:45 21/08/2025,96,56,1
22:07:49 21/08/2025,96,59,1
22:07:53 21/08/2025,96,59,1
22:07:57 21/08/2025,97,59,1
22:08:01 21/08/2025,97,60,0
22:08:05 21/08/2025,97,56,1
22:08:09 21/08/2025,97,58,0
22:08:13 21/08/2025,97,58,2
22:08:17 21/08/2025,97,58,1
22:08:21 21/08/2025,96,58,1
22:08:25 21/08/2025,96,58,1
22:08:29 21/08/2025,96,58,1
22:08:33 21/08/2025,95,59,1
22:08:37 21/08/2025,94,58,1
22:08:41 21/08/2025,94,58,1
22:08:45 21/08/2025,95,54,1
22:08:49 21/08/2025,97,51,1
22:08:53 21/08/2025,97,51,1
22:08:57 21/08/2025,97,51,1
22:09:01 21/08/2025,96,52,1
22:09:05 21/08/2025,96,52,1
22:09:09 21/08/2025,95,52,1
22:09:13 21/08/2025,95,52,1
22:09:17 21/08/2025,97,52,0
22:09:21 21/08/2025,97,52,1
22:09:25 21/08/2025,98,51,1
22:09:29 21/08/2025,98,51,1
22:09:33 21/08/2025,97,52,1
22:09:37 21/08/2025,96,52,0
22:09:41 21/08/2025,96,52,1
22:09:45 21/08/2025,96,52,1
22:09:49 21/08/2025,96,52,1
22:09:53 21/08/2025,96,52,1
22:09:57 21/08/2025,96,51,1
22:10:01 21/08/2025,96,52,1
22:10:05 21/08/2025,96,52,1
22:10:09 21/08/2025,96,52,0
22:10:13 21/08/2025,96,53,1
22:10:17 21/08/2025,96,53,1
22:10:21 21/08/2025,96,53,0
22:10:25 21/08/2025,96,52,0
22:10:29 21/08/2025,97,53,1
22:10:33 21/08/2025,97,53,1
22:10:37 21/08/2025,97,54,1
22:10:41 21/08/2025,97,54,1
22:10:45 21/08/2025,97,53,1
22:10:49 21/08/2025,97,53,2
22:10:53 21/08/2025,97,52,0
22:10:57 21/08/2025,97,51,0
22:11:01 21/08/2025,97,51,0
22:11:05 21/08/2025,97,51,1
22:11:09 21/08/2025,97,51,1
22:11:13 21/08/2025,97,52,0
22:11:17 21/08/2025,97,52,0
22:11:21 21/08/2025,97,52,0
22:11:25 21/08/2025,97,52,1
22:11:29 21/08/2025,97,53,0
22:11:33 21/08/2025,97,52,1
22:11:37 21/08/2025,96,53,1
22:11:41 21/08/2025,96,53,1
22:11:45 21/08/2025,96,53,1
22:11:49 21/08/2025,96,52,0
22:11:53 21/08/2025,97,53,1
22:11:57 21/08/2025,98,51,0
22:12:01 21/08/2025,98,53,0
22:12:05 21/08/2025,97,53,1
22:12:09 21/08/2025,97,54,1
22:12:13 21/08/2025,97,54,0
22:12:17 21/08/2025,96,52,0
22:12:21 21/08/2025,96,51,0
22:12:25 21/08/2025,97,51,1
22:12:29 21/08/2025,97,50,1
22:12:33 21/08/2025,97,51,1
22:12:37 21/08/2025,96,51,0
22:12:41 21/08/2025,95,52,1
22:12:45 21/08/2025,95,53,1
22:12:49 21/08/2025,94,55,1
22:12:53 21/08/2025,94,55,6
22:12:57 21/08/2025,95,55,1
22:13:01 21/08/2025,96,53,1
22:13:05 21/08/2025,97,53,1
22:13:09 21/08/2025,97,53,1
22:13:13 21/08/2025,97,51,1
22:13:17 21/08/2025,96,52,1
22:13:21 21/08/2025,96,52,1
22:13:25 21/08/2025,96,52,1
22:13:29 21/08/2025,96,52,1
22:13:33 21/08/2025,96,52,1
22:13:37 21/08/2025,97,52,1
22:13:41 21/08/2025,97,52,1
22:13:45 21/08/2025,97,52,1
22:13:49 21/08/2025,96,53,1
22:13:53 21/08/2025,96,52,1
22:13:57 21/08/2025,96,51,1
22:14:01 21/08/2025,97,51,1
22:14:05 21/08/2025,97,53,1
22:14:09 21/08/2025,97,54,1
22:14:13 21/08/2025,97,54,1
22:14:17 21/08/2025,96,52,1
22:14:21 21/08/2025,96,52,1
22:14:25 21/08/2025,96,51,1
22:14:29 21/08/2025,97,51,1
22:14:33 21/08/2025,96,51,1
22:14:37 21/08/2025,96,51,1
22:14:41 21/08/2025,96,51,1
22:14:45 21/08/2025,96,52,1
22:14:49 21/08/2025,95,52,1
22:14:53 21/08/2025,95,52,1
22:14:57 21/08/2025,96,51,1
22:15:01 21/08/2025,97,51,1
22:15:05 21/08/2025,97,51,1
22:15:09 21/08/2025,97,51,1
22:15:13 21/08/2025,97,51,1
22:15:17 21/08/2025,96,52,1
22:15:21 21/08/2025,96,52,1
22:15:25 21/08/2025,96,51,1
22:15:29 21/08/2025,96,51,1
22:15:33 21/08/2025,97,50,1
22:15:37 21/08/2025,97,53,1
22:15:41 21/08/2025,97,53,1
22:15:45 21/08/2025,96,55,1
22:15:49 21/08/2025,96,53,0
22:15:53 21/08/2025,95,53,1
22:15:57 21/08/2025,95,53,1
22:16:01 21/08/2025,96,52,1
22:16:05 21/08/2025,96,51,1
22:16:09 21/08/2025,96,54,1
22:16:13 21/08/2025,96,54,0
22:16:17 21/08/2025,96,55,1
22:16:21 21/08/2025,96,55,1
22:16:25 21/08/2025,95,53,1
22:16:29 21/08/2025,95,52,1
22:16:33 21/08/2025,95,52,1
22:16:37 21/08/2025,95,52,1
22:16:41 21/08/2025,95,52,0
22:16:45 21/08/2025,96,52,1
22:16:49 21/08/2025,96,52,1
22:16:53 21/08/2025,95,52,1
22:16:57 21/08/2025,95,52,1
22:17:01 21/08/2025,95,52,1
22:17:05 21/08/2025,96,52,1
22:17:09 21/08/2025,96,52,0
22:17:13 21/08/2025,96,52,1
22:17:17 21/08/2025,96,54,1
22:17:21 21/08/2025,96,55,1
22:17:25 21/08/2025,95,56,1
22:17:29 21/08/2025,95,54,1
